,,,,,,,,,,,,,,
,,CLTR411-024,실용영어1,2.0 ,,2.0 ,,"노울, 디터","월5A,5B 수5A,5B",,,외국어교육관-404,토목공학과,
,,CLTR411-025,실용영어1,2.0 ,,2.0 ,,"피어슨, 브랜든","수6A,6B 금5A,5B",,,외국어교육관-425,건축공학전공,
,,CLTR411-026,실용영어1,2.0 ,,2.0 ,,"노울, 디터","수6A,6B 금5A,5B",,,외국어교육관-404,건축공학전공,
,,CLTR411-027,실용영어1,2.0 ,,2.0 ,,"맨티, 타샤 리앤","수6A,6B 금5A,5B",,,외국어교육관-405,건축공학전공,
,,CLTR411-028,실용영어1,2.0 ,,2.0 ,,"하이랜드,크리스","화5A,5B 목5A,5B",,,외국어교육관-424,건축학전공,
,,CLTR411-029,실용영어1,2.0 ,,2.0 ,,"드니아,토비","화5A,5B 목5A,5B",,,외국어교육관-423,건축학전공,
,,CLTR411-030,실용영어1,2.0 ,,2.0 ,,워터스 더스틴,"화5A,5B 목5A,5B",,,외국어교육관-419,건축학전공,
,,CLTR411-031,실용영어1,2.0 ,,2.0 ,,"위드로우, 애덤 크리스토퍼","화7A,7B 목7A,7B",,,외국어교육관-420,에너지공학부,
,,CLTR411-032,실용영어1,2.0 ,,2.0 ,,워터스 더스틴,"화7A,7B 목7A,7B",,,외국어교육관-419,에너지공학부,
,,CLTR411-033,실용영어1,2.0 ,,2.0 ,,"갈스터, 네이슨 존","월6A,6B 금6A,6B",,,외국어교육관-407,응용화학공학부,
,,CLTR411-034,실용영어1,2.0 ,,2.0 ,,"피어슨, 브랜든","월6A,6B 금6A,6B",,,외국어교육관-425,응용화학공학부,
,,CLTR411-035,실용영어1,2.0 ,,2.0 ,,"노울, 디터","월6A,6B 금6A,6B",,,외국어교육관-404,응용화학공학부,
,,CLTR411-036,실용영어1,2.0 ,,2.0 ,,"하이랜드,크리스","월6A,6B 금6A,6B",,,외국어교육관-424,응용화학공학부,
,,CLTR411-037,실용영어1,2.0 ,,2.0 ,,"맨티, 타샤 리앤","월6A,6B 금6A,6B",,,외국어교육관-405,응용화학공학부,
,,CLTR411-038,실용영어1,2.0 ,,2.0 ,,워터스 더스틴,"월6A,6B 금6A,6B",,,외국어교육관-419,응용화학공학부,
,,CLTR411-039,실용영어1,2.0 ,,2.0 ,,"빌즈, 그라함 해롤드","화1A,1B 목3A,3B",,,외국어교육관-402,교양교육센터,
,,CLTR411-040,실용영어1,2.0 ,,2.0 ,,"빌즈, 그라함 해롤드","화3A,3B 목1A,1B",,,외국어교육관-402,교양교육센터,
,,,,,,,,,,,,,,
,,,,수  업  시  간  표,,,,,,,,,,
첨성인기초(실용영어),,,,,,,,,,,2019학년도 제 1학기,,,
학년,구분,교과번호-분반,교과목명,학점,,강의,실습,   담당교수,"강의시간(요일,교시)",,,강의실,강좌관리과,
,,CLTR411-041,실용영어1,2.0 ,,2.0 ,,"갈스터, 네이슨 존","월1A,1B 수3A,3B",,,외국어교육관-407,교양교육센터,
,,CLTR411-042,실용영어1,2.0 ,,2.0 ,,"갈스터, 네이슨 존","화2A,2B 목2A,2B",,,외국어교육관-407,교양교육센터,
